,IdAcidente,Datahora,Dia da Semana,Sentidos,Latitude GPS,Longitude GPS,Via Trânsito,Localizações,Freguesia,Pov. Proxima,Tipo Natureza,Natureza,Tipo de Traçado,Inclinação do Traçado,Berma do Traçado,Localização do Traçado,Estado Conservação,Características Tecnicas,Reg Circulação,Marca Via,Obstáculos,Sinais,Sinais Luminosos,Tipo Piso,Intersecção Vias,Factores Atmosféricos,Luminosidade,Cond Aderência,VM,FG,FL,Tipos Vias,Via,Num arruamento,Km,Nome arruamento,Localização 2,Ano,Mês,Dia,Hora,Periodo,Estação,Dia Util,Gravidade,Indicador de Gravidade,Veículos envolvidos,Passageiros envolvidos,Peões envolvidos,Inf/Ação: Abertura de porta,Inf/Ação: Desrespeito da sinalização semafórica,Inf/Ação: Desrespeito da sinalização vertical,Inf/Ação: Desrespeito das distâncias de segurança,Inf/Ação: Desrespeito das marcas rodoviárias,Inf/Ação: Encandeamento,Inf/Ação: Manobra irregular,Inf/Ação: Não sinalização da manobra,Inf/Ação: Obstáculo imprevisto na faixa de rodagem,Inf/Ação: Rebentamento de pneumático,Inf/Ação: Velocidade excessiva para as condições existentes,Automóvel ligeiro,Automóvel pesado,Motociclos/Ciclomotores,Outros Veículos,Velocípedes,Peões
0,20191648491,2019-01-02 15:10:00,Quarta-Feira,NÃO DEFINIDO,38.7683668999999,-9.1728989,Direita,Dentro das localidades,Lumiar,Lisboa,Atropelamento,Atropelamento de peões,Recta,Em patamar,Sem berma ou impraticável,Em parque de estacionamento,Em bom estado,Estrada sem separador,Sentido único,NÃO DEFINIDO,Inexistentes,NÃO DEFINIDO,Inexistentes,Betão de cimento,Fora da intersecção,NÃO DEFINIDO,Em pleno dia,Seco e limpo,0,0,1,Arruamento sem separador,Via Secundária,0,,Azinhaga Ulmeiros,Sem GPS - estimado,2019,1,2,15,Tarde,Inverno,1,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
1,20191648498,2019-01-02 16:45:00,Quarta-Feira,NÃO DEFINIDO,38.7190961,-9.15613029999999,Esquerda,Dentro das localidades,Campo de Ourique,Lisboa,Atropelamento,Atropelamento de peões,Recta,Em patamar,Sem berma ou impraticável,Em plena via,Em bom estado,Estrada sem separador,Dois sentidos,Com marcas,Inexistentes,Outros,A funcionar normalmente,Betuminoso,Fora da intersecção,Bom tempo,Em pleno dia,Seco e limpo,0,0,3,Arruamento sem separador,Via Secundária,9,,Avenida Álvares Cabral,Sem GPS - estimado,2019,1,2,16,Tarde,Inverno,1,0,9,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
2,20191648520,2019-01-02 13:05:00,Quarta-Feira,NÃO DEFINIDO,38.7287793,-9.1475178,Central,Dentro das localidades,Avenidas Novas,Lisboa,Colisão,Colisão lateral com outro veículo em movimento,Recta,Com inclinação,Sem berma ou impraticável,Em plena via,Em bom estado,Outra via,Sentido único,Com marcas,Inexistentes,Passagem de peões,A funcionar normalmente,Betuminoso,Em entroncamento,Bom tempo,Em pleno dia,Seco e limpo,0,0,1,Arruamento com separador,Via Secundária,16,,Avenida Fontes Pereira de Melo,Sem GPS - estimado,2019,1,2,13,Tarde,Inverno,1,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
3,20191649633,2019-01-03 09:20:00,Quinta-Feira,NÃO DEFINIDO,38.7934805,-9.1518164,Direita,Dentro das localidades,Santa Clara,,Atropelamento,Atropelamento de peões,Recta,Em patamar,Sem berma ou impraticável,Em plena via,Em estado regular,Estrada sem separador,Dois sentidos,Sem marcas rodoviárias ou pouco visíveis,Inexistentes,Outros,Desligada,Betuminoso,Fora da intersecção,Bom tempo,Em pleno dia,Seco e limpo,0,0,1,Arruamento sem separador,Via Secundária,2,,Vila Paulo Jorge,Sem GPS - estimado,2019,1,3,9,Manhã,Inverno,1,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
4,20191649654,2019-01-03 18:15:00,Quinta-Feira,NÃO DEFINIDO,,,Direita,Dentro das localidades,Santo António,,Colisão,Colisão traseira com outro veículo em movimento,Recta,Com inclinação,Sem berma ou impraticável,Em plena via,Em bom estado,Estrada sem separador,Dois sentidos,Com marcas,Inexistentes,NÃO DEFINIDO,A funcionar normalmente,Betuminoso,Em entroncamento,Bom tempo,"Noite, com iluminação",Seco e limpo,0,0,1,Arruamento sem separador,Via Secundária,0,,Avenida Liberdade,Sem GPS - não estimado,2019,1,3,18,Noite,Inverno,1,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
5,20191649657,2019-01-03 13:00:00,Quinta-Feira,NÃO DEFINIDO,38.695246,-9.2124527,Direita,Dentro das localidades,Belém,,Despiste,Despiste sem dispositivo de retenção,Recta,Em patamar,Sem berma ou impraticável,Em plena via,Em estado regular,Estrada sem separador,Dois sentidos,Com marcas,Inexistentes,NÃO DEFINIDO,Inexistentes,Calçada,Fora da intersecção,Bom tempo,Em pleno dia,Seco e limpo,0,0,1,Arruamento sem separador,Via Secundária,92,,Rua Bartolomeu Dias,Sem GPS - estimado,2019,1,3,13,Tarde,Inverno,1,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
6,20191649882,2019-01-04 13:15:00,Sexta-Feira,NÃO DEFINIDO,38.7353261,-9.146952,Direita,Dentro das localidades,Avenidas Novas,,Atropelamento,Atropelamento de peões,Recta,Em patamar,Berma pavimentada,Em via ou pista reservada,Em bom estado,Estrada sem separador,Dois sentidos,Com marcas,Inexistentes,Outros,Inexistentes,Betuminoso,Fora da intersecção,Bom tempo,Em pleno dia,Seco e limpo,0,0,2,Arruamento sem separador,Via Secundária,46,,Avenida Duque Ávila,Sem GPS - estimado,2019,1,4,13,Tarde,Inverno,1,0,6,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
7,20191649889,2019-01-05 19:00:00,Sábado,NÃO DEFINIDO,,,Direita,Dentro das localidades,Avenidas Novas,,Colisão,Colisão lateral com outro veículo em movimento,Recta,Em patamar,Berma pavimentada,Em plena via,Em estado regular,Estrada sem separador,Sentido único,Com marcas,Inexistentes,Outros,A funcionar normalmente,Betuminoso,Em rotunda,Bom tempo,"Noite, com iluminação",Seco e limpo,0,0,1,Arruamento sem separador,Via Secundária,0,,Praça Marquês Pombal,Sem GPS - não estimado,2019,1,5,19,Noite,Inverno,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
8,20191650301,2019-01-02 18:50:00,Quarta-Feira,NÃO DEFINIDO,38.7400373,-9.1916104,Direita,Dentro das localidades,São Domingos de Benfica,,Despiste,Despiste com colisão com veículo imobil. ou obstáculo,Curva,Com inclinação,NÃO DEFINIDO,Em plena via,NÃO DEFINIDO,Estrada sem separador,Dois sentidos,Com marcas,Inexistentes,Outros,Inexistentes,Betuminoso,Fora da intersecção,Bom tempo,"Noite, com iluminação",Molhado,0,0,1,Arruamento sem separador,Via Secundária,1,,Estrada Barcal,Sem GPS - estimado,2019,1,2,18,Noite,Inverno,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
9,20191651182,2019-01-06 13:15:00,Domingo,NÃO DEFINIDO,38.744406,-9.1128568,Direita,Dentro das localidades,Marvila,Lisboa,Despiste,Despiste com colisão com veículo imobil. ou obstáculo,Recta,Com inclinação,Berma pavimentada,Em plena via,Em estado regular,Estrada sem separador,Sentido único,Sem marcas rodoviárias ou pouco visíveis,Inexistentes,Outros,Inexistentes,Betuminoso,Fora da intersecção,Bom tempo,Em pleno dia,Seco e limpo,0,0,1,Arruamento sem separador,Via Secundária,9,,Praça Eduardo Mondlane,Sem GPS - estimado,2019,1,6,13,Tarde,Inverno,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
